Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
454.25199999999995,3275.73,115.0,116.09299999999999
452.023,3012.44,115.0,115.52
451.23199999999997,3001.87,115.0,115.316
452.463,2973.86,115.0,115.633
449.685,3251.19,115.0,115.0
455.07300000000004,3033.04,115.0,116.304
455.07300000000004,3202.48,115.0,116.304
454.621,3202.48,115.0,116.18700000000001
451.824,3165.42,115.0,115.469
451.824,3154.81,115.0,115.469
451.436,3154.81,115.0,115.369
462.04400000000004,3017.3,115.0,118.095
451.87199999999996,3035.16,115.0,115.48100000000001
451.87199999999996,3205.61,115.0,115.48100000000001
458.457,3205.61,115.0,117.17299999999999
458.968,3206.34,115.0,117.304
458.44199999999995,3194.76,115.0,117.169
458.918,3008.23,115.0,117.291
459.56699999999995,2997.38,115.0,117.458
462.76199999999994,2990.23,115.0,118.279
462.76199999999994,2978.7,115.0,118.279
462.353,2978.7,115.0,118.17399999999999
459.22900000000004,3019.19,115.0,117.37100000000001
459.22900000000004,3188.66,115.0,117.37100000000001
458.615,3188.66,115.0,117.214
458.615,3177.07,115.0,117.214
461.11400000000003,3177.07,115.0,117.85600000000001
464.11800000000005,3012.09,115.0,118.62700000000001
464.11800000000005,3000.56,115.0,118.62700000000001
462.829,3000.56,115.0,118.296
461.848,3169.98,115.0,118.044
461.651,3000.62,115.0,117.994
461.651,3169.78,115.0,117.994
467.52099999999996,3169.78,115.0,119.50200000000001
462.855,3001.19,115.0,118.303
462.855,3159.63,115.0,118.303
462.06,3159.63,115.0,118.09899999999999
459.07599999999996,2992.36,115.0,117.33200000000001
461.909,2993.16,115.0,118.06
461.934,2985.39,115.0,118.066
461.934,3143.83,115.0,118.066
461.45099999999996,3143.83,115.0,117.94200000000001
469.134,2996.31,115.0,119.916
469.134,3154.75,115.0,119.916
468.358,3154.75,115.0,119.71700000000001
468.899,2986.75,115.0,119.85600000000001
469.43300000000005,3142.93,115.0,119.993
459.835,2976.99,115.0,117.527
472.32199999999995,2967.43,115.0,120.736
471.394,3113.88,115.0,120.49700000000001
469.099,2957.23,115.0,119.90700000000001
468.51599999999996,3116.69,115.0,119.758
466.97900000000004,2949.61,115.0,119.363
